# Multi-Origin Emergency Corridor Edges
# Origins: 4
# Format: node_id_1,node_id_2,tier
#
cluster_190971708_219011772,cluster_243345653_30297797_4139413948,tertiary
8199176462,cluster_1092685773_10967880776_4538123375_4538123416_#3more,primary
543552912,cluster_1297445112_247637112_2810872737_2810990580_#1more,primary
1474941218,847727786,backbone
5264791965,cluster_13274010916_13274010917_5264791770,secondary
1363702653,1363702666,primary
12926501402,541644038,secondary
690679238,690679239,primary
1303430343,cluster_30332606_8223182475,primary
30688839,849592994,primary
1312339742,30617900,tertiary
243338878,cluster_1940899123_1940899124,primary
5678341335,cluster_1930254000_8119755195,secondary
1299373046,1299373048,backbone
401795296,434464804,secondary
1305741256,559418993,primary
1147391519,3109205926,primary
847727780,847727782,backbone
30295271,314899334,backbone
104431832,26057116,primary
2650778329,cluster_13119458932_2650778287_2650778313_522579231,backbone
13186824756,cluster_243343112_243343113,primary
387130660,387130661,primary
690679246,7233634026,secondary
2268684776,347353584,primary
1623838327,cluster_2293731677_2293731679,secondary
240982102,240984013,tertiary
12908680339,310929483#1-AddedOffRampNode,primary
30297359,559052405,secondary
415718635,415719087,secondary
2684052230,359234345,secondary
1940844916,cluster_1940899123_1940899124,primary
323161620,cluster_600061447_600061448,secondary
30914511,856906186,tertiary
2708786158,960625630,primary
415402206,cluster_3643380198_3643380203_366065819_415994563,secondary
30689056,387130505,tertiary
4416582822,4438982923,primary
30243203,415935111,backbone
30227039,30227050,primary
30253432,cluster_1759662344_30332756,primary
1043834157,1043834285,primary
cluster_1312053372_421265639,cluster_2293731677_2293731679,secondary
112382699,11240066167,primary
30617795,cluster_387127587_863733378,primary
2869959997,412444645,backbone
30246669,8199176462,primary
1840721007,364829704,secondary
12643425281,434487433,primary
192284952,5908351895,primary
1840720998,269380178,primary
10114407391,316877771,primary
847727781,847727782,backbone
4852602038,cluster_615815434_629327975,backbone
3306168425,3306168427,secondary
535657125,694837836,secondary
359236400,cluster_1567435229_690679215,secondary
3417299048,3439160184,primary
575781202,cluster_253795221_253795578_253795579_2767286515_#6more,backbone
30333341,30554041,primary
543552988,544223044,secondary
960625589,960625596,primary
1853174727,cluster_30296616_8302792055,secondary
3372612694,415933918,primary
1357271791,1357271829,tertiary
1311770048,442540238,primary
532430853,cluster_530924818_573484619,secondary
30914307,539184669,primary
392351066,392351451,backbone
4829396040,cluster_126798002_126800097_426891064,tertiary
567474424,cluster_381009461_381015582,primary
1001228501,506223397,primary
11243529761,2264150794,primary
30617737,9123291071,primary
30688829,8121373625,primary
536838747,539147484,tertiary
2692588225,6227904984,secondary
1000063812,1000063814,secondary
442540276,8210712079,primary
13199461400,13199678806,primary
1046607396,cluster_1174708055_1588285136,backbone
847727780,847727785,primary
2689711017,387127524,primary
1695282664,494973581,primary
12898105384,376746258,primary
2590731984,818710821,primary
948980793,948980794,tertiary
323191078,692807420,primary
6984788045,cluster_10896052336_30238021,secondary
30556746,30556748,primary
1938243778,4338253064,secondary
598220122,9873768080,secondary
12919170685,540312587,secondary
30243398,30253589,primary
1017920188,4992822662,primary
30254087,879356690,primary
598224356,769906807,primary
687897156,874432073,secondary
18524314-AddedOffRampNode,191060378,primary
12953490458,4473060899,secondary
10141741742,cluster_2077949595_251543446_4476005036_6314709584_#1more,secondary
1303363172,1303363176,secondary
30617607,30617608,primary
30313064,30689552,primary
2458217848,cluster_30295131_412446059,primary
4397168781,5306386384,primary
1377806906,693196406,primary
30297369,30297370,primary
30295337,30295343,tertiary
10253033785,3888894773,primary
30312830,381897080,tertiary
126699974,415935180,primary
30236720,30236760,primary
1863725886,256484488,primary
30296036,8461920641,secondary
1329812662,629306823,secondary
30253310,7159373371,primary
7110703695,841867127,secondary
442540299,cluster_1311619445_5260740738,primary
1043834293,5248043033,primary
30296130,8461920640,secondary
30914417,30914422,primary
3193317990,3193317991,primary
1362642915,cluster_1016384550_3275080767,secondary
30254089,536418253,primary
2235259412,2344645253,secondary
960625593,960625596,secondary
30914373,30914390,tertiary
3306168426,3306168428,secondary
903833802,960625596,primary
559026426,559765962,primary
366066655,392354011,primary
4127412196,626570718,primary
11322667565,1589583429,primary
243341158,30253278,primary
cluster_10778099644_10778099645,cluster_1930253996_8119755207,secondary
5094317308,8173291489,primary
1295283770,7756584367,backbone
12919280809,30254013,backbone
12898105356,1393379518-AddedOnRampNode,primary
30294451,30558573,secondary
12815238993,cluster_1017920208_12643425260_1312339728_449383072,primary
323158443,323158444,primary
387127544,387127590,primary
412398661,412398663,tertiary
1116318834,387127612,primary
541644040,543552977,secondary
2456870303,2456870327,primary
7252331255,cluster_30558292_412549139,tertiary
