# Emergency Corridor Edges (node_id_1, node_id_2, tier)
30617794,30617795,secondary
59850112,998592680,secondary
10182235282,30243054,secondary
770847800,806808400,primary
30295094,30960866,secondary
1695282572,cluster_1695282555_1695282559_7487343260,primary
10177321808,11363307237,secondary
8379681578,cluster_1381852565_3748616590_690803431,primary
1400747771,cluster_13134439125_431107481,secondary
1748629933,668486347,secondary
257749040,cluster_257746909_258563358,secondary
541644006,765910378,secondary
540312579,630583121,secondary
535228371,535228373,secondary
2989930622,cluster_1139082290_1139082295_319630104_8550439929,secondary
330412974,752368105,primary
30237686,412398661,primary
6125086059,998592680,secondary
30243357,4826672640,secondary
1623838327,cluster_2293731677_2293731679,secondary
6126749210,6126749211,secondary
30247007,30247027,secondary
12898105330,cluster_690679102_690679104,secondary
126753810,cluster_1122814756_1297710575,secondary
1378087178,269383881,secondary
30617554,432467121,primary
1940624161,30253390,secondary
390879715,543552887,secondary
30295490,30295491,secondary
387127729,cluster_1695282574_387130473,secondary
1169009527,1623835960,secondary
269382682,364829704,secondary
30254053,30254054,primary
358505175,9029647953,primary
1303457189,cluster_1303457199_1601776177,secondary
126769416,12884120603,secondary
30689532,30689533,secondary
2264591782,cluster_126803361_250793737,secondary
690679240,7233634023,secondary
30264549,573420824,secondary
543553059,6620325587,secondary
258359388,cluster_359237300_8529602573,secondary
359235500,cluster_359235504_359238794_359238889_359238890_#1more,primary
5260601900,cluster_1311619445_5260740738,primary
3059542904,363877263,secondary
432467115,cluster_30237675_5250643030_8529334834_8529334835_#1more,primary
1621899836,2262659967,secondary
4251829813,8495234373,secondary
430537456,687897113,secondary
689430534,690424462,secondary
12256248810,30243401,tertiary
359104407,6634825854,secondary
1311833057,5278425950,secondary
1233754579,432509964,secondary
12919195236,cluster_1116623801_1116623856,primary
cluster_561249956_7289937297,cluster_615815427_629328233,tertiary
11012409286,11012409292,primary
2707017764,cluster_2707017763_951016291,primary
1479390211,364829686,secondary
10181609591,4719409243,secondary
1856466576,cluster_1856466592_1856466753_8173456628,secondary
597212245,cluster_2578612976_262250647_2810872733_2810990584_#1more,primary
8119424260,cluster_358505134_8119424282,secondary
126803357,30243205,tertiary
cluster_126797324_126803324_426889568,cluster_126803361_250793737,secondary
30294510,30313436,secondary
598224513,598224641,tertiary
13197779091,240978795,secondary
1484164576,312680845,secondary
258359509,356295312,secondary
30253439,30332761,tertiary
30238383,30647907,secondary
30618051,30618052,tertiary
1046613006,cluster_1046607407_951016296,primary
448786033,cluster_448786030_4525195639_6120152819_6952525518,secondary
2473393899,2473393922,secondary
977657489,cluster_432509967_432510087,primary
10796996597,364719895,secondary
269376044,269376402,secondary
366065824,366065840,primary
30246949,30246970,secondary
1315972418,1780444609,primary
11178765233,240882893,secondary
434423009,4596238459,tertiary
10141723906,557230481,secondary
13199461400,13199678806,secondary
543553141,559417174,secondary
3196847751,799374580,primary
12947743975,429350512,primary
1306211583,cluster_11258759941_11258759944_11258759969_12138690553_#2more,secondary
30242960,30253568,tertiary
535228364,535228377,primary
598222088,cluster_598222623_598222624_8528964650,secondary
12923224032,604943427,primary
2709095336,4436378450,secondary
12999380162,8495220348,secondary
2686563657,30296342,tertiary
30617607,30617608,tertiary
12945539304,1526422833,primary
559420249,765910378,secondary
