orig,dest,total_trips,completed_trips,free_travel_time,average_travel_time,stddiv_travel_time,shortest_distance,average_distance_traveled_per_veh,stddiv_distance_traveled_per_veh
cluster_301572944_71643547_9803583623,359104405,55,0,0.0,0.0,0.0,0.0,0.0,0.0
6874436644,6634825854,5,0,0.0,0.0,0.0,0.0,0.0,0.0
30243366,cluster_301572459_301572957_71643542,100,100,87.83928571428571,124.0,34.26368339802363,632.0,879.35,164.00862020028094
8126691012,30237641,10,0,0.0,0.0,0.0,0.0,0.0,0.0
6762205324,30247167,20,0,0.0,0.0,0.0,0.0,0.0,0.0
1812294093,30237639,5,5,68.60714285714286,95.0,0.0,755.0,755.0,0.0
7005287334,cluster_301572944_71643547_9803583623,10,10,2.25,12.5,2.5,18.0,18.0,0.0
11370726443,8264714837,10,0,0.0,0.0,0.0,0.0,0.0,0.0
30237697,30247166,10,10,64.39285714285714,72.5,2.5,581.0,816.0,0.0
30237698,12884439756,15,0,0.0,0.0,0.0,0.0,0.0,0.0
30237614,442540300,5,5,33.660714285714285,50.0,0.0,376.0,376.0,0.0
359104405,5260601900,25,25,3.285714285714286,12.0,2.449489742783178,46.0,46.0,0.0
4823547657,30237616,25,0,0.0,0.0,0.0,0.0,0.0,0.0
30237617,6634825854,25,25,42.99999999999999,73.0,6.782329983125268,602.0,602.0,0.0
1812294093,12953119988,10,10,68.0,90.0,15.0,829.0,832.0,0.0
8193762124,12944467681,20,0,0.0,0.0,0.0,0.0,0.0,0.0
442540240,1311773884,15,15,104.71428571428571,200.0,63.77042156569664,1172.0,1766.3333333333333,683.0638493012364
6985826711,30237617,10,0,0.0,0.0,0.0,0.0,0.0,0.0
8197554957,30237697,15,0,0.0,0.0,0.0,0.0,0.0,0.0
12884439757,30237867,75,0,0.0,0.0,0.0,0.0,0.0,0.0
30237633,30247089,20,0,0.0,0.0,0.0,0.0,0.0,0.0
30237614,30243366,20,20,66.71428571428572,107.5,23.58495283014151,700.0,934.0,0.0
30237698,30243368,5,0,0.0,0.0,0.0,0.0,0.0,0.0
6762205335,442540270,35,35,114.01785714285714,218.57142857142858,16.19397721250662,1507.0,1507.0,0.0
12884439749,6634825854,20,20,17.839285714285715,58.75,14.306903927824496,144.0,144.0,0.0
30243322,8126691012,30,30,133.57142857142856,189.16666666666666,23.169064624096407,1721.0,1723.0,0.0
cluster_30237612_6670690974,4173395797,15,0,0.0,0.0,0.0,0.0,0.0,0.0
12884439757,1362899971,65,65,20.214285714285715,33.07692307692308,8.444037846192366,283.0,283.0,0.0
442540270,9042478734,5,5,29.625,55.0,0.0,237.0,237.0,0.0
30247166,30237616,5,5,25.07142857142857,30.0,0.0,351.0,351.0,0.0
8210106342,30237613,55,55,51.78571428571428,63.18181818181818,6.83331653562405,725.0,725.0,0.0
442540270,30243322,20,20,118.31547619047619,200.0,14.577379737113251,1010.0,1179.0,60.0
5761245141,30237635,15,0,0.0,0.0,0.0,0.0,0.0,0.0
30247431,30247166,5,5,17.857142857142858,25.0,0.0,250.0,250.0,0.0
30237696,10896077231,30,0,0.0,0.0,0.0,0.0,0.0,0.0
30247167,12884439756,5,0,0.0,0.0,0.0,0.0,0.0,0.0
30247433,30237867,35,0,0.0,0.0,0.0,0.0,0.0,0.0
